row_id,ID,Site of experiment,Municipality,State,Elevation (m asl),Climate,Year,Storage technology,Tmin (°C),Tmax (°C),Hrmin  (%),Hrmax  (%),Variety,Storage time (days),Storage time (months),GMCI  (%),GTI  (°C),Grain Impurities (%),InsI  (%),FunI  (%),TdamI  (%),GMCF  (%),GTF  (°C),InsF  (%),FunF  (%),Weight_Loss  (%),TdamF  (%),LMWI,LLGBI,AGMI,LMWF,LLGBF,AGMF,source_id,citation,doi_or_url,country,site,latitude,longitude,elevation_m,climate_zone,climate_basis,loss_method,replicate_id,extraction_method,condition_id,site_id
11,3,"San Juan Cotzocón, OAX",San Juan Cotzocón ,Oaxaca,113,Tropical humid,2017,HMS,21.62505376344086,31.61435483870968,56.09086021505377,95.26344086021504,Hybrid,30,1,11.7,34.1,0.0799866799866799,0.1198801198801199,2.299000999000999,4.084948384948399,12.8,34.9,0.0,1.55688622754491,0.0,15.02994011976048,1,0,0,0,0,0,SRC-CIMMYT-CTRL-HUMID,"Verhulst, N., Burgueño, J., Odjo, S., Rivers, A. (2020). Data for: Hermetic storage technologies reduce maize pest damage in smallholder farming systems in Mexico. Mendeley Data, V1.",https://doi.org/10.17632/fmtgzw5mmp.1,Mexico,"San Juan Cotzocón, Oaxaca",,,113,Am,Beck et al. 2018 Köppen-Geiger 1 km; site classified Am; CIMMYT label Tropical humid; coordinates not recorded in source subset,as reported in CIMMYT Controlled Weight_Loss (%) column (dataset Legend),r2,user training subset CIMMYT_TropicalHumid_subset.xlsx (from DataControlled),4,1
12,3,"San Juan Cotzocón, OAX",San Juan Cotzocón ,Oaxaca,113,Tropical humid,2017,HMS,21.62505376344086,31.61435483870968,56.09086021505377,95.26344086021504,Hybrid,30,1,11.7,34.1,0.0799866799866799,0.1198801198801199,2.299000999000999,4.084948384948399,12.6,33.9,0.0,0.5550049554013875,0.0,13.73637264618434,1,0,0,1,0,0,SRC-CIMMYT-CTRL-HUMID,"Verhulst, N., Burgueño, J., Odjo, S., Rivers, A. (2020). Data for: Hermetic storage technologies reduce maize pest damage in smallholder farming systems in Mexico. Mendeley Data, V1.",https://doi.org/10.17632/fmtgzw5mmp.1,Mexico,"San Juan Cotzocón, Oaxaca",,,113,Am,Beck et al. 2018 Köppen-Geiger 1 km; site classified Am; CIMMYT label Tropical humid; coordinates not recorded in source subset,as reported in CIMMYT Controlled Weight_Loss (%) column (dataset Legend),r3,user training subset CIMMYT_TropicalHumid_subset.xlsx (from DataControlled),4,1
13,3,"San Juan Cotzocón, OAX",San Juan Cotzocón ,Oaxaca,113,Tropical humid,2017,PP_AP,21.33961290322581,30.78236559139785,59.41935483870967,95.41655913978494,Hybrid,121,4,11.7,34.1,0.0799866799866799,0.1198801198801199,2.299000999000999,4.084948384948399,14.92,29.13,27.48502994011976,22.65469061876247,3.974123971493629,29.13173652694611,1,0,0,78,0,0,SRC-CIMMYT-CTRL-HUMID,"Verhulst, N., Burgueño, J., Odjo, S., Rivers, A. (2020). Data for: Hermetic storage technologies reduce maize pest damage in smallholder farming systems in Mexico. Mendeley Data, V1.",https://doi.org/10.17632/fmtgzw5mmp.1,Mexico,"San Juan Cotzocón, Oaxaca",,,113,Am,Beck et al. 2018 Köppen-Geiger 1 km; site classified Am; CIMMYT label Tropical humid; coordinates not recorded in source subset,as reported in CIMMYT Controlled Weight_Loss (%) column (dataset Legend),r1,user training subset CIMMYT_TropicalHumid_subset.xlsx (from DataControlled),5,1
14,3,"San Juan Cotzocón, OAX",San Juan Cotzocón ,Oaxaca,113,Tropical humid,2017,PP_AP,21.33961290322581,30.78236559139785,59.41935483870967,95.41655913978494,Hybrid,121,4,11.7,34.1,0.0799866799866799,0.1198801198801199,2.299000999000999,4.084948384948399,14.73,29.54,64.8502994011976,5.968063872255488,9.376854599406537,68.94211576846307,1,0,0,142,16,0,SRC-CIMMYT-CTRL-HUMID,"Verhulst, N., Burgueño, J., Odjo, S., Rivers, A. (2020). Data for: Hermetic storage technologies reduce maize pest damage in smallholder farming systems in Mexico. Mendeley Data, V1.",https://doi.org/10.17632/fmtgzw5mmp.1,Mexico,"San Juan Cotzocón, Oaxaca",,,113,Am,Beck et al. 2018 Köppen-Geiger 1 km; site classified Am; CIMMYT label Tropical humid; coordinates not recorded in source subset,as reported in CIMMYT Controlled Weight_Loss (%) column (dataset Legend),r2,user training subset CIMMYT_TropicalHumid_subset.xlsx (from DataControlled),5,1
15,3,"San Juan Cotzocón, OAX",San Juan Cotzocón ,Oaxaca,113,Tropical humid,2017,PP_AP,21.33961290322581,30.78236559139785,59.41935483870967,95.41655913978494,Hybrid,121,4,11.7,34.1,0.0799866799866799,0.1198801198801199,2.299000999000999,4.084948384948399,14.75,29.5,53.38,3.8,8.736280775342008,61.59999999999999,1,0,0,78,0,0,SRC-CIMMYT-CTRL-HUMID,"Verhulst, N., Burgueño, J., Odjo, S., Rivers, A. (2020). Data for: Hermetic storage technologies reduce maize pest damage in smallholder farming systems in Mexico. Mendeley Data, V1.",https://doi.org/10.17632/fmtgzw5mmp.1,Mexico,"San Juan Cotzocón, Oaxaca",,,113,Am,Beck et al. 2018 Köppen-Geiger 1 km; site classified Am; CIMMYT label Tropical humid; coordinates not recorded in source subset,as reported in CIMMYT Controlled Weight_Loss (%) column (dataset Legend),r3,user training subset CIMMYT_TropicalHumid_subset.xlsx (from DataControlled),5,1
16,3,"San Juan Cotzocón, OAX",San Juan Cotzocón ,Oaxaca,113,Tropical humid,2017,PP_ML,21.33961290322581,30.78236559139785,59.41935483870967,95.41655913978494,Hybrid,121,4,11.7,34.1,0.0799866799866799,0.1198801198801199,2.299000999000999,4.084948384948399,14.67,28.32,42.94,7.85,16.46629690944522,45.81000000000001,1,0,0,45,36,0,SRC-CIMMYT-CTRL-HUMID,"Verhulst, N., Burgueño, J., Odjo, S., Rivers, A. (2020). Data for: Hermetic storage technologies reduce maize pest damage in smallholder farming systems in Mexico. Mendeley Data, V1.",https://doi.org/10.17632/fmtgzw5mmp.1,Mexico,"San Juan Cotzocón, Oaxaca",,,113,Am,Beck et al. 2018 Köppen-Geiger 1 km; site classified Am; CIMMYT label Tropical humid; coordinates not recorded in source subset,as reported in CIMMYT Controlled Weight_Loss (%) column (dataset Legend),r1,user training subset CIMMYT_TropicalHumid_subset.xlsx (from DataControlled),6,1
17,3,"San Juan Cotzocón, OAX",San Juan Cotzocón ,Oaxaca,113,Tropical humid,2017,PP_ML,21.33961290322581,30.78236559139785,59.41935483870967,95.41655913978494,Hybrid,121,4,11.7,34.1,0.0799866799866799,0.1198801198801199,2.299000999000999,4.084948384948399,13.16,28.09,5.98,4.68,0.6103807900074003,16.37999999999999,1,0,0,42,5,0,SRC-CIMMYT-CTRL-HUMID,"Verhulst, N., Burgueño, J., Odjo, S., Rivers, A. (2020). Data for: Hermetic storage technologies reduce maize pest damage in smallholder farming systems in Mexico. Mendeley Data, V1.",https://doi.org/10.17632/fmtgzw5mmp.1,Mexico,"San Juan Cotzocón, Oaxaca",,,113,Am,Beck et al. 2018 Köppen-Geiger 1 km; site classified Am; CIMMYT label Tropical humid; coordinates not recorded in source subset,as reported in CIMMYT Controlled Weight_Loss (%) column (dataset Legend),r2,user training subset CIMMYT_TropicalHumid_subset.xlsx (from DataControlled),6,1
18,3,"San Juan Cotzocón, OAX",San Juan Cotzocón ,Oaxaca,113,Tropical humid,2017,PP_ML,21.33961290322581,30.78236559139785,59.41935483870967,95.41655913978494,Hybrid,121,4,11.7,34.1,0.0799866799866799,0.1198801198801199,2.299000999000999,4.084948384948399,13.98,28.4,14.51,3.63,2.76237297215705,23.01000000000001,1,0,0,36,2,0,SRC-CIMMYT-CTRL-HUMID,"Verhulst, N., Burgueño, J., Odjo, S., Rivers, A. (2020). Data for: Hermetic storage technologies reduce maize pest damage in smallholder farming systems in Mexico. Mendeley Data, V1.",https://doi.org/10.17632/fmtgzw5mmp.1,Mexico,"San Juan Cotzocón, Oaxaca",,,113,Am,Beck et al. 2018 Köppen-Geiger 1 km; site classified Am; CIMMYT label Tropical humid; coordinates not recorded in source subset,as reported in CIMMYT Controlled Weight_Loss (%) column (dataset Legend),r3,user training subset CIMMYT_TropicalHumid_subset.xlsx (from DataControlled),6,1
19,3,"San Juan Cotzocón, OAX",San Juan Cotzocón ,Oaxaca,113,Tropical humid,2017,HBT,21.33961290322581,30.78236559139785,59.41935483870967,95.41655913978494,Hybrid,121,4,11.7,34.1,0.0799866799866799,0.1198801198801199,2.299000999000999,4.084948384948399,14.72,26.21,3.226773226773227,2.737262737262737,0.480947040900115,12.16783216783217,1,0,0,0,0,0,SRC-CIMMYT-CTRL-HUMID,"Verhulst, N., Burgueño, J., Odjo, S., Rivers, A. (2020). Data for: Hermetic storage technologies reduce maize pest damage in smallholder farming systems in Mexico. Mendeley Data, V1.",https://doi.org/10.17632/fmtgzw5mmp.1,Mexico,"San Juan Cotzocón, Oaxaca",,,113,Am,Beck et al. 2018 Köppen-Geiger 1 km; site classified Am; CIMMYT label Tropical humid; coordinates not recorded in source subset,as reported in CIMMYT Controlled Weight_Loss (%) column (dataset Legend),r1,user training subset CIMMYT_TropicalHumid_subset.xlsx (from DataControlled),7,1
20,3,"San Juan Cotzocón, OAX",San Juan Cotzocón ,Oaxaca,113,Tropical humid,2017,HBT,21.33961290322581,30.78236559139785,59.41935483870967,95.41655913978494,Hybrid,121,4,11.7,34.1,0.0799866799866799,0.1198801198801199,2.299000999000999,4.084948384948399,14.58,27.1,0.8091908091908092,2.047952047952048,0.0710292788222054,9.480519480519488,1,0,0,0,0,0,SRC-CIMMYT-CTRL-HUMID,"Verhulst, N., Burgueño, J., Odjo, S., Rivers, A. (2020). Data for: Hermetic storage technologies reduce maize pest damage in smallholder farming systems in Mexico. Mendeley Data, V1.",https://doi.org/10.17632/fmtgzw5mmp.1,Mexico,"San Juan Cotzocón, Oaxaca",,,113,Am,Beck et al. 2018 Köppen-Geiger 1 km; site classified Am; CIMMYT label Tropical humid; coordinates not recorded in source subset,as reported in CIMMYT Controlled Weight_Loss (%) column (dataset Legend),r2,user training subset CIMMYT_TropicalHumid_subset.xlsx (from DataControlled),7,1
